n_s_i,density_s_i
2,1
9,0.2222222222222222
29,0.06896551724137931
10,0.2222222222222222
14,0.15384615384615385
16,0.125
28,0.07142857142857142
8,0.25
4,0.5
11,0.18181818181818182
9,0.2222222222222222
11,0.21818181818181817
5,0.4
2,1
11,0.2
20,0.10526315789473684
14,0.15384615384615385
13,0.14102564102564102
22,0.09523809523809523
5,0.4
16,0.125
14,0.14285714285714285
16,0.11666666666666667
4,0.5
11,0.18181818181818182
2,1
14,0.14285714285714285
12,0.13636363636363635
13,0.16666666666666666
21,0.08571428571428572
12,0.15151515151515152
3,0.6666666666666666
4,0.5
12,0.18181818181818182
17,0.11764705882352941
6,0.33333333333333337
5,0.4
8,0.21428571428571427
15,0.13333333333333333
11,0.18181818181818182
8,0.25
3,0.6666666666666666
2,1
6,0.33333333333333337
9,0.2222222222222222
7,0.2857142857142857
7,0.2857142857142857
12,0.16666666666666666
29,0.06896551724137931
10,0.2
12,0.16666666666666666
5,0.4
11,0.18181818181818182
16,0.125
2,1
24,0.08695652173913043
11,0.2
8,0.21428571428571427
6,0.33333333333333337
7,0.2857142857142857
6,0.33333333333333337
15,0.13333333333333333
13,0.15384615384615385
12,0.16666666666666666
2,1
3,0.6666666666666666
17,0.11764705882352941
6,0.26666666666666666
5,0.4
8,0.25
2,1
22,0.09090909090909091
13,0.15384615384615385
20,0.10526315789473684
6,0.33333333333333337
4,0.5
6,0.33333333333333337
9,0.2222222222222222
5,0.4
2,1
4,0.5
2,1
9,0.2222222222222222
8,0.25
13,0.15384615384615385
14,0.13186813186813187
2,1
21,0.09523809523809523
21,0.1
5,0.3
9,0.16666666666666666
18,0.1111111111111111
2,1
5,0.4
12,0.16666666666666666
9,0.25
8,0.25
16,0.13333333333333333
10,0.2
12,0.16666666666666666
10,0.17777777777777778
7,0.2857142857142857
2,1
13,0.15384615384615385
10,0.2
14,0.15384615384615385
4,0.5
33,0.06439393939393939
5,0.4
22,0.09090909090909091
17,0.11764705882352941
21,0.09523809523809523
27,0.07407407407407407
4,0.5
11,0.18181818181818182
2,1
2,1
15,0.13333333333333333
17,0.11764705882352941
7,0.2857142857142857
15,0.13333333333333333
7,0.3333333333333333
9,0.2222222222222222
16,0.125
15,0.13333333333333333
18,0.1111111111111111
14,0.14285714285714285
16,0.125
12,0.16666666666666666
18,0.11764705882352941
11,0.18181818181818182
16,0.125
12,0.16666666666666666
16,0.125
25,0.08
10,0.2
11,0.18181818181818182
8,0.25
5,0.4
2,1
5,0.4
6,0.4
13,0.16666666666666666
25,0.08333333333333333
6,0.33333333333333337
2,1
5,0.4
16,0.125
22,0.09523809523809523
8,0.25
7,0.2380952380952381
12,0.15151515151515152
20,0.09999999999999999
6,0.33333333333333337
9,0.2222222222222222
7,0.2857142857142857
2,1
17,0.11764705882352941
6,0.33333333333333337
9,0.25
17,0.11764705882352941
15,0.13333333333333333
21,0.1
12,0.16666666666666666
2,1
5,0.4
6,0.4
12,0.16666666666666666
25,0.08
3,0.6666666666666666
30,0.06896551724137931
5,0.4
16,0.11666666666666667
19,0.1111111111111111
18,0.11764705882352941
8,0.25
16,0.125
26,0.08
24,0.09420289855072463
21,0.09047619047619047
7,0.3333333333333333
4,0.5
9,0.2222222222222222
14,0.14285714285714285
9,0.2222222222222222
7,0.2857142857142857
5,0.5
7,0.2857142857142857
2,1
10,0.2222222222222222
18,0.13071895424836602
15,0.13333333333333333
4,0.5
7,0.2380952380952381
4,0.5
6,0.33333333333333337
8,0.21428571428571427
3,0.6666666666666666
13,0.15384615384615385
18,0.12418300653594772
9,0.2222222222222222
8,0.25
3,0.6666666666666666
3,0.6666666666666666
6,0.33333333333333337
3,0.6666666666666666
10,0.2
11,0.18181818181818182
20,0.09999999999999999
27,0.07692307692307693
3,0.6666666666666666
13,0.15384615384615385
11,0.18181818181818182
11,0.2
25,0.08
19,0.1111111111111111
20,0.09999999999999999
2,1
6,0.33333333333333337
4,0.5
2,1
2,1
2,1
17,0.11764705882352941
10,0.26666666666666666
2,1
7,0.2857142857142857
4,0.6666666666666666
8,0.21428571428571427
13,0.15384615384615385
7,0.38095238095238093
4,0.5
6,0.4
5,0.4
10,0.2
6,0.33333333333333337
17,0.1323529411764706
8,0.25
10,0.26666666666666666
8,0.2857142857142857
14,0.1758241758241758
6,0.33333333333333337
2,1
3,0.6666666666666666
16,0.11666666666666667
9,0.2222222222222222
24,0.08695652173913043
18,0.11764705882352941
16,0.13333333333333333
17,0.11764705882352941
30,0.06666666666666667
19,0.10526315789473684
12,0.16666666666666666
15,0.14285714285714285
14,0.16483516483516483
